# DMSP SSJ Auroral Boundary Identification (dmsp-f16_ssj_precipitating-electrons-ions_20100529_v1.1.2.cdf)
# Generated on Thu Oct 25 12:44:20 2018
# Glossary:
# EQ1: First equator-side auroral boundary 
# PO1: First pole-side auroral boundary 
# PO2: Second pole-side auroral boundary 
# EQ2: Second equator-side auroral boundary 
# FOM: Figure of merit / Quality ( < 1.8 usually questionable)
# ind: row of DMSP SSJ CDF file corresponding to boundary
# hemisphere : -1 for southern hemisphere +1 for northern
UTSecond Pass Start,UTSecond Pass End,hemisphere,UTSec EQ1,UTSec PO1,UTSec PO2,UTSec EQ2,FOM,mlat EQ1,mlat PO1,mlat PO2,mlat EQ2,mlt EQ1,mlt PO1,mlt PO2,mlt EQ2
9514,12563,1,10687,10816,11318,11496,3.480,65.541,70.908,72.781,65.474,16.890,16.147,9.942,8.778
15706,18639,1,16905,16995,17491,17613,3.529,66.032,69.900,71.233,65.979,16.555,15.983,9.773,8.925
28079,30886,1,29125,29326,29824,30020,2.846,62.096,71.643,69.340,59.553,17.413,16.157,9.670,8.689
30887,34238,-1,32189,32749,33056,33312,3.401,-55.939,-76.153,-70.275,-57.642,5.323,1.746,21.659,20.313
34239,37235,1,35258,35370,36032,36242,3.318,63.129,68.586,67.961,57.327,17.627,17.083,9.405,8.619
37236,40353,-1,38316,38622,39223,39462,4.056,-55.732,-70.991,-71.868,-58.421,6.026,5.375,20.502,19.726
40354,43488,1,41311,41588,42281,42489,4.071,60.446,73.456,65.803,55.675,17.921,16.683,8.663,8.105
43489,46471,-1,44417,44656,45334,45574,3.897,-56.588,-69.469,-72.770,-58.933,6.600,6.497,19.160,19.007
46472,49540,1,47431,47630,48255,48644,3.847,61.104,70.855,75.185,55.819,17.782,17.232,8.381,7.190
49541,52572,-1,50460,50686,51447,51621,3.870,-56.190,-68.398,-69.963,-60.638,6.892,7.108,18.023,18.275
55585,58707,-1,56500,56775,57512,57622,3.424,-56.820,-71.597,-67.741,-62.515,7.118,7.731,17.695,17.965
58708,61635,1,59625,59908,60603,60716,3.607,60.128,75.983,64.097,57.480,18.155,17.962,6.754,6.727
61636,64895,-1,62521,62892,63484,63592,3.395,-56.723,-77.099,-69.466,-64.814,7.461,8.662,17.958,18.230
67689,70983,-1,68592,68908,69493,69596,3.353,-59.096,-77.540,-70.052,-65.580,7.624,8.283,18.674,18.799
73737,76983,-1,74649,74977,75475,75689,3.635,-59.467,-79.186,-73.036,-63.219,7.287,7.023,19.657,19.459
76984,79831,1,77912,78113,78581,78892,3.914,65.429,77.034,75.989,58.881,19.289,18.801,8.644,8.134
79832,82879,-1,80750,81123,81524,81728,3.394,-60.300,-80.501,-73.416,-64.051,6.704,4.458,21.028,20.276
82880,85949,1,83984,84116,84642,84953,3.593,66.175,72.978,76.886,61.761,18.748,18.287,9.552,8.432
